"date" "nazva" "TSP" "SO2" "CO" "NO2" "NO" "H2S" "C6H6O" "NH3" "CH2O"
2014-01-02 "ПСЗ-1" NA 0.014 2 0.025 NA 0.002 0.0023 0.033 0.007
2014-01-02 "ПСЗ-2" NA 0.014 2 0.025 NA 0.0023 0.0027 0.043 0.0065
2014-01-02 "ПСЗ-3" NA 0.007 1 0.02 0.005 0.0037 0.0013 0.017 0.0035
2014-01-02 "ПСЗ-6" 1 0.015 2 0.025 NA 3e-04 0.001 0.023 0.006
2014-01-02 "ПСЗ-7" NA 0.012 2 0.015 NA 0.0023 0.0017 0.04 0.011
2014-01-03 "ПСЗ-1" NA 0.024 3 0.06 NA 0.003 0.0042 0.05 0.009
2014-01-03 "ПСЗ-2" NA 0.031 2 0.075 NA 0.003 0.003 0.065 0.006
2014-01-03 "ПСЗ-3" NA 0.034 4 0.107 0.067 0.005 0.005 0.05 0.011
2014-01-03 "ПСЗ-6" 1.25 0.02 2 0.067 NA 0.0015 0.0012 0.038 0.0035
2014-01-03 "ПСЗ-7" NA 0.013 2 0.037 NA 0.0015 0.002 0.025 0.0035
2014-01-04 "ПСЗ-1" NA 0.023 2 0.025 NA 0.0015 0.003 0.042 0.0085
2014-01-04 "ПСЗ-2" NA 0.022 2 0.035 NA 0.0018 0.0028 0.06 0.0075
2014-01-04 "ПСЗ-3" NA 0.025 2 0.03 0.017 5e-04 0.002 0.05 0.0045
2014-01-04 "ПСЗ-6" 0.85 0.025 2 0.043 NA 2e-04 8e-04 0.025 0.008
2014-01-04 "ПСЗ-7" NA 0.015 2 0.027 NA 8e-04 0.002 0.028 0.007
2014-01-06 "ПСЗ-1" NA 0.027 2 0.07 NA 0.002 0.002 0.04 0.009
2014-01-06 "ПСЗ-2" NA 0.02 3 0.04 NA 0.002 0.002 0.03 0.005
2014-01-06 "ПСЗ-3" NA 0.017 2 0.03 0.01 0.002 0.001 0.02 0.003
2014-01-06 "ПСЗ-6" 1 0.018 3 0.03 NA 0.001 0.001 0.02 0.004
2014-01-06 "ПСЗ-7" NA 0.014 2 0.03 NA 0.001 0.001 0.03 0.012
2014-01-08 "ПСЗ-1" NA 0.012 2 0.04 NA 0.0017 0.0017 0.033 0.008
2014-01-08 "ПСЗ-2" NA 0.016 3 0.07 NA 0.003 0.003 0.057 0.011
2014-01-08 "ПСЗ-3" NA 0.012 2 0.03 0.025 0.0017 0.001 0.023 0.0045
2014-01-08 "ПСЗ-6" 0.8 0.016 2 0.03 NA 0.0013 0.001 0.027 0.006
2014-01-08 "ПСЗ-7" NA 0.023 4 0.17 NA 0.0043 0.0047 0.097 0.0125
2014-01-09 "ПСЗ-1" NA 0.01 2 0.05 NA 2e-04 2e-04 0.022 0.004
2014-01-09 "ПСЗ-2" NA 0.012 4 0.08 NA 8e-04 8e-04 0.045 0.009
