date,date,nazva,TSP,SO2,CO,NO2,NO,H2S,C6H6O,NH3,CH2O,dte
0,2014-01-02,ПСЗ-1,0.9785714285714285,0.013999999999999999,2,0.025,0.0,0.002,0.0023,0.033,0.006999999999999999,2014-01-02
1,2014-01-02,ПСЗ-2,0.9785714285714285,0.013999999999999999,2,0.025,0.0,0.0023,0.0027,0.043,0.0065,2014-01-02
2,2014-01-02,ПСЗ-3,0.9785714285714285,0.006999999999999999,1,0.02,0.005,0.0037,0.0013,0.017,0.0035,2014-01-02
3,2014-01-02,ПСЗ-6,1.0,0.015,2,0.025,0.0,0.0003,0.001,0.023,0.006,2014-01-02
4,2014-01-02,ПСЗ-7,0.9785714285714285,0.012,2,0.015,0.0,0.0023,0.0017,0.04,0.011000000000000001,2014-01-02
5,2014-01-03,ПСЗ-1,0.9785714285714285,0.024,3,0.06,0.0,0.003,0.0042,0.05,0.009000000000000001,2014-01-03
6,2014-01-03,ПСЗ-2,0.9785714285714285,0.031,2,0.075,0.0,0.003,0.003,0.065,0.006,2014-01-03
7,2014-01-03,ПСЗ-3,0.9785714285714285,0.034,4,0.107,0.067,0.005,0.005,0.05,0.011000000000000001,2014-01-03
8,2014-01-03,ПСЗ-6,1.25,0.02,2,0.067,0.0,0.0015,0.0012,0.038,0.0035,2014-01-03
9,2014-01-03,ПСЗ-7,0.9785714285714285,0.013000000000000001,2,0.037000000000000005,0.0,0.0015,0.002,0.025,0.0035,2014-01-03
10,2014-01-04,ПСЗ-1,0.9785714285714285,0.023,2,0.025,0.0,0.0015,0.003,0.042,0.0085,2014-01-04
11,2014-01-04,ПСЗ-2,0.9785714285714285,0.022000000000000002,2,0.035,0.0,0.0018,0.0028,0.06,0.0075,2014-01-04
12,2014-01-04,ПСЗ-3,0.9785714285714285,0.025,2,0.03,0.017,0.0005,0.002,0.05,0.0045,2014-01-04
13,2014-01-04,ПСЗ-6,0.85,0.025,2,0.043,0.0,0.0002,0.0008,0.025,0.008,2014-01-04
14,2014-01-04,ПСЗ-7,0.9785714285714285,0.015,2,0.027000000000000003,0.0,0.0008,0.002,0.027999999999999997,0.006999999999999999,2014-01-04
15,2014-01-06,ПСЗ-1,0.9785714285714285,0.027000000000000003,2,0.07,0.0,0.002,0.002,0.04,0.009000000000000001,2014-01-06
16,2014-01-06,ПСЗ-2,0.9785714285714285,0.02,3,0.04,0.0,0.002,0.002,0.03,0.005,2014-01-06
17,2014-01-06,ПСЗ-3,0.9785714285714285,0.017,2,0.03,0.01,0.002,0.001,0.02,0.003,2014-01-06
18,2014-01-06,ПСЗ-6,1.0,0.018000000000000002,3,0.03,0.0,0.001,0.001,0.02,0.004,2014-01-06
19,2014-01-06,ПСЗ-7,0.9785714285714285,0.013999999999999999,2,0.03,0.0,0.001,0.001,0.03,0.012,2014-01-06
20,2014-01-08,ПСЗ-1,0.9785714285714285,0.012,2,0.04,0.0,0.0017,0.0017,0.033,0.008,2014-01-08
21,2014-01-08,ПСЗ-2,0.9785714285714285,0.016,3,0.07,0.0,0.003,0.003,0.057,0.011000000000000001,2014-01-08
22,2014-01-08,ПСЗ-3,0.9785714285714285,0.012,2,0.03,0.025,0.0017,0.001,0.023,0.0045,2014-01-08
23,2014-01-08,ПСЗ-6,0.8,0.016,2,0.03,0.0,0.0013,0.001,0.027000000000000003,0.006,2014-01-08
24,2014-01-08,ПСЗ-7,0.9785714285714285,0.023,4,0.17,0.0,0.0043,0.0047,0.09699999999999999,0.0125,2014-01-08
25,2014-01-09,ПСЗ-1,0.9785714285714285,0.01,2,0.05,0.0,0.0002,0.0002,0.022000000000000002,0.004,2014-01-09
26,2014-01-09,ПСЗ-2,0.9785714285714285,0.012,4,0.08,0.0,0.0008,0.0008,0.045,0.009000000000000001,2014-01-09
27,2014-01-09,ПСЗ-3,0.9785714285714285,0.012,2,0.04,0.02,0.0002,0.0,0.015,0.0045,2014-01-09
28,2014-01-09,ПСЗ-6,0.65,0.013000000000000001,2,0.037000000000000005,0.0,0.0005,0.0,0.015,0.0035,2014-01-09
29,2014-01-09,ПСЗ-7,0.9785714285714285,0.018000000000000002,4,0.09,0.0,0.0028,0.003,0.065,0.017,2014-01-09
30,2014-01-10,ПСЗ-1,0.9785714285714285,0.008,2,0.06,0.0,0.0018,0.0025,0.035,0.004,2014-01-10
31,2014-01-10,ПСЗ-2,0.9785714285714285,0.008,3,0.13,0.0,0.0042,0.0055,0.098,0.008,2014-01-10
32,2014-01-10,ПСЗ-3,0.9785714285714285,0.008,2,0.047,0.03,0.001,0.0018,0.032,0.0035,2014-01-10
33,2014-01-10,ПСЗ-6,1.3,0.009000000000000001,2,0.037000000000000005,0.0,0.0012,0.001,0.038,0.006,2014-01-10
34,2014-01-10,ПСЗ-7,0.9785714285714285,0.008,4,0.14300000000000002,0.0,0.0048,0.0078,0.125,0.017,2014-01-10
35,2014-01-11,ПСЗ-1,0.43571428571428567,0.016,2,0.025,0.0,0.0008,0.0002,0.027999999999999997,0.0055,2014-01-11
36,2014-01-11,ПСЗ-2,0.43571428571428567,0.006,2,0.03,0.0,0.0005,0.0005,0.035,0.006,2014-01-11
37,2014-01-11,ПСЗ-3,0.43571428571428567,0.01,2,0.03,0.023,0.0005,0.0,0.035,0.0045,2014-01-11
38,2014-01-11,ПСЗ-6,0.35,0.015,1,0.037000000000000005,0.0,0.0002,0.0,0.035,0.004,2014-01-11
39,2014-01-11,ПСЗ-7,0.43571428571428567,0.031,2,0.033,0.0,0.001,0.002,0.055,0.015,2014-01-11
40,2014-01-13,ПСЗ-1,0.43571428571428567,0.025,2,0.035,0.0,0.0003,0.0007,0.013000000000000001,0.002,2014-01-13
41,2014-01-13,ПСЗ-2,0.43571428571428567,0.016,2,0.035,0.0,0.0003,0.0003,0.027000000000000003,0.0035,2014-01-13
42,2014-01-13,ПСЗ-3,0.43571428571428567,0.012,2,0.04,0.025,0.0003,0.0003,0.017,0.0025,2014-01-13
43,2014-01-13,ПСЗ-6,0.35,0.024,2,0.035,0.0,0.0003,0.0,0.01,0.0035,2014-01-13
44,2014-01-13,ПСЗ-7,0.43571428571428567,0.027000000000000003,2,0.065,0.0,0.0013,0.0027,0.03,0.0075,2014-01-13
45,2014-01-14,ПСЗ-1,0.43571428571428567,0.031,2,0.07,0.0,0.001,0.0008,0.022000000000000002,0.006999999999999999,2014-01-14
46,2014-01-14,ПСЗ-2,0.43571428571428567,0.025,2,0.06,0.0,0.0015,0.0008,0.025,0.0065,2014-01-14
47,2014-01-14,ПСЗ-3,0.43571428571428567,0.019,2,0.04,0.027000000000000003,0.0005,0.0002,0.027999999999999997,0.008,2014-01-14
48,2014-01-14,ПСЗ-6,0.3,0.025,2,0.047,0.0,0.0002,0.0005,0.025,0.0055,2014-01-14
49,2014-01-14,ПСЗ-7,0.43571428571428567,0.02,2,0.033,0.0,0.0012,0.001,0.03,0.0045,2014-01-14
50,2014-01-15,ПСЗ-1,0.43571428571428567,0.040999999999999995,3,0.095,0.0,0.003,0.0038,0.057999999999999996,0.006999999999999999,2014-01-15
51,2014-01-15,ПСЗ-2,0.43571428571428567,0.05,4,0.13,0.0,0.0035,0.0052,0.057999999999999996,0.0115,2014-01-15
52,2014-01-15,ПСЗ-3,0.43571428571428567,0.027999999999999997,2,0.057,0.037000000000000005,0.0015,0.0023,0.03,0.0045,2014-01-15
53,2014-01-15,ПСЗ-6,0.8,0.04,4,0.05,0.0,0.0012,0.0015,0.022000000000000002,0.005,2014-01-15
54,2014-01-15,ПСЗ-7,0.43571428571428567,0.035,2,0.087,0.0,0.0023,0.003,0.06,0.0075,2014-01-15
55,2014-01-16,ПСЗ-1,0.43571428571428567,0.027000000000000003,2,0.025,0.0,0.0018,0.0018,0.03,0.0045,2014-01-16
56,2014-01-16,ПСЗ-2,0.43571428571428567,0.039,3,0.045,0.0,0.003,0.004,0.062,0.0065,2014-01-16
57,2014-01-16,ПСЗ-3,0.43571428571428567,0.027999999999999997,2,0.027000000000000003,0.023,0.0015,0.0005,0.025,0.0055,2014-01-16
58,2014-01-16,ПСЗ-6,0.35,0.033,3,0.047,0.0,0.0008,0.0005,0.03,0.006,2014-01-16
59,2014-01-16,ПСЗ-7,0.43571428571428567,0.055,3,0.09,0.0,0.0065,0.0078,0.09,0.0175,2014-01-16
