"wd" "ws" "ceil_hgt" "temp" "dew_point" "atmos_pres" "rh" "time" "DD.meteo.from"
300 3 NA -4 -5 1022 92.7 2013-01-01 00:00:00 "WNW"
300 2 NA -4 -5 1021 92.7 2013-01-01 00:30:00 "WNW"
300 2 NA -4 -5 1021 92.7 2013-01-01 01:00:00 "WNW"
310 2 NA -4 -5 1021 92.7 2013-01-01 01:30:00 "NW"
310 2 NA -4 -5 1022 92.7 2013-01-01 02:00:00 "NW"
-9999 0 NA -4 -5 1021 92.7 2013-01-01 02:30:00 "CALM"
-9999 0 NA -4 -5 1021 92.7 2013-01-01 03:00:00 "CALM"
-9999 0 22000 -4 -5 1021 92.7 2013-01-01 03:30:00 "CALM"
220 1 22000 -5 -6 1021 92.7 2013-01-01 04:00:00 "SW"
210 2 22000 -5 -6 1021 92.7 2013-01-01 04:30:00 "SSW"
-9999 0 22000 -6 -6 1021 100 2013-01-01 05:00:00 "CALM"
-9999 0 22000 -6 -6 1021 100 2013-01-01 05:30:00 "CALM"
-9999 0 22000 -6 -6 1021 100 2013-01-01 05:47:00 "CALM"
190 1 22000 -6 -6 1021 100 2013-01-01 06:00:00 "S"
-9999 0 22000 -6 -6 1021 100 2013-01-01 06:30:00 "CALM"
-9999 0 22000 -6 -6 1022 100 2013-01-01 07:00:00 "CALM"
230 1 22000 -6 -6 1022 100 2013-01-01 07:14:00 "SW"
-9999 0 22000 -6 -6 1022 100 2013-01-01 07:30:00 "CALM"
-9999 0 22000 -6 -6 1022 100 2013-01-01 07:32:00 "CALM"
-9999 0 22000 -6 -7 1022 92.6 2013-01-01 08:00:00 "CALM"
-9999 0 22000 -6 -7 1022 92.6 2013-01-01 08:30:00 "CALM"
-9999 0 NA -6 -7 1022 92.6 2013-01-01 09:00:00 "CALM"
210 2 NA -6 -7 1022 92.6 2013-01-01 09:30:00 "SSW"
-9999 0 NA -3 -5 1022 86.1 2013-01-01 10:00:00 "CALM"
230 2 NA -3 -5 1022 86.1 2013-01-01 10:30:00 "SW"
230 1 NA 0 -3 1022 80.2 2013-01-01 11:00:00 "SW"
210 3 NA 0 -3 1022 80.2 2013-01-01 11:30:00 "SSW"
220 2 NA 1 -2 1022 80.4 2013-01-01 12:00:00 "SW"
220 2 NA 1 -2 1021 80.4 2013-01-01 12:30:00 "SW"
220 2 NA 1 -1 1021 86.5 2013-01-01 13:00:00 "SW"
200 2 NA 1 -1 1021 86.5 2013-01-01 13:30:00 "SSW"
210 2 NA 2 -1 1021 80.5 2013-01-01 14:00:00 "SSW"
210 2 NA 2 -1 1022 80.5 2013-01-01 14:30:00 "SSW"
210 2 NA 2 -1 1022 80.5 2013-01-01 15:00:00 "SSW"
-9999 0 NA 2 -1 1022 80.5 2013-01-01 15:30:00 "CALM"
160 2 NA 2 0 1021 86.6 2013-01-01 16:00:00 "SSE"
160 2 NA 2 0 1021 86.6 2013-01-01 16:30:00 "SSE"
170 2 NA 1 0 1021 93 2013-01-01 17:00:00 "S"
190 2 NA 1 0 1022 93 2013-01-01 17:30:00 "S"
180 2 NA 1 0 1022 93 2013-01-01 18:00:00 "S"
190 3 NA 1 0 1022 93 2013-01-01 18:30:00 "S"
190 2 NA 1 0 1022 93 2013-01-01 19:00:00 "S"
190 4 NA 1 0 1022 93 2013-01-01 19:30:00 "S"
